,index,name,count,cluster
0,5,pop dance,12,0
1,2,edm,11,0
2,3,electro house,11,0
3,6,progressive electro house,7,0
4,11,progressive house,6,0
5,14,soft rock,4,1
6,7,classic rock,4,1
7,10,mellow gold,4,1
8,15,german pop,4,1
9,13,rock,4,1
10,2,german pop,7,2
11,3,german rock,4,2
12,0,contemporary gospel,3,2
13,10,mellow gold,3,2
14,5,german pop rock,3,2
15,8,classical,9,3
16,0,ambient,7,3
17,4,drone,7,3
18,5,fourth world,6,3
19,2,compositional ambient,5,3
20,22,progressive electro house,4,4
21,20,pop dance,4,4
22,17,edm,4,4
23,14,dance pop,3,4
24,23,progressive house,3,4
25,5,compositional ambient,6,5
26,1,classical,5,5
27,11,drone,4,5
28,10,ambient,4,5
29,6,neo-classical,3,5
30,0,edm,13,6
31,3,pop dance,13,6
32,1,electro house,12,6
33,8,progressive electro house,9,6
34,10,tropical house,6,6
35,2,pop,11,7
36,1,dance pop,8,7
37,7,edm,4,7
38,8,pop dance,4,7
39,9,tropical house,3,7
40,18,death metal,9,8
41,17,brutal death metal,7,8
42,10,metal,6,8
43,6,finnish death metal,5,8
44,3,goregrind,4,8
45,22,soft rock,8,9
46,18,mellow gold,6,9
47,8,brill building pop,6,9
48,16,disco,4,9
49,27,folk rock,4,9
50,4,jazz,7,10
51,9,bossa nova,5,10
52,3,bebop,5,10
53,5,jazz saxophone,5,10
54,8,vocal jazz,5,10
55,0,death metal,16,11
56,7,brutal death metal,11,11
57,10,metal,10,11
58,1,deathrash,8,11
59,8,florida death metal,7,11
60,9,neo-classical,7,12
61,5,jazz,3,12
62,15,compositional ambient,3,12
63,4,free jazz,2,12
64,20,classical era,2,12
65,9,indie rock,4,13
66,27,rock,3,13
67,26,permanent wave,3,13
68,8,indie pop,3,13
69,21,pop rock,3,13
70,0,brutal death metal,13,14
71,1,death metal,13,14
72,4,metal,7,14
73,16,technical death metal,6,14
74,14,deathgrind,5,14
75,7,bossa nova,6,15
76,8,mpb,6,15
77,15,classical,5,15
78,4,jazz,4,15
79,10,samba,4,15
80,5,jazz,8,16
81,4,vocal jazz,7,16
82,0,adult standards,6,16
83,2,lounge,6,16
84,3,swing,4,16
85,5,rap,11,17
86,2,hip hop,9,17
87,10,gangster rap,9,17
88,4,pop rap,7,17
89,1,east coast hip hop,6,17
90,0,latin,4,18
91,2,reggaeton,4,18
92,33,mpb,4,18
93,3,trap latino,3,18
94,35,samba-rock,3,18
95,0,dance pop,8,19
96,1,pop,8,19
97,3,pop rap,3,19
98,36,europop,3,19
99,11,edm,3,19
100,1,neo-classical,8,20
101,7,compositional ambient,3,20
102,9,classical,3,20
103,0,piano cover,2,20
104,8,baroque,2,20
105,9,adult standards,8,21
106,12,lounge,6,21
107,11,easy listening,4,21
108,19,jazz,4,21
109,32,vocal jazz,3,21
110,11,jazz,10,22
111,4,bebop,8,22
112,9,hard bop,6,22
113,13,jazz fusion,5,22
114,14,jazz saxophone,5,22
115,5,dance pop,10,23
116,6,pop,8,23
117,0,latin,4,23
118,2,reggaeton,4,23
119,3,trap latino,4,23
120,10,rap,10,24
121,12,hip hop,8,24
122,14,pop rap,8,24
123,5,gangster rap,5,24
124,23,east coast hip hop,4,24
125,10,edm,9,25
126,16,pop dance,8,25
127,4,dance pop,7,25
128,11,electro house,6,25
129,8,pop rap,6,25
130,12,nu metal,4,26
131,1,pop,4,26
132,6,edm,4,26
133,7,electro house,4,26
134,9,alternative metal,4,26
135,5,rock-and-roll,14,27
136,6,rockabilly,14,27
137,1,brill building pop,11,27
138,0,adult standards,10,27
139,12,soul,6,27
140,5,pop,8,28
141,8,dance pop,8,28
142,13,urban contemporary,4,28
143,27,new wave pop,3,28
144,30,pop dance,3,28
145,2,edm,9,29
146,1,dance pop,9,29
147,6,pop dance,7,29
148,3,electro house,6,29
149,25,pop,5,29
150,0,bebop,6,30
151,3,jazz,6,30
152,15,vocal jazz,5,30
153,2,hard bop,4,30
154,36,stride,3,30
155,4,classical,14,31
156,0,italian opera,8,31
157,1,italian romanticism,8,31
158,2,post-romantic era,7,31
159,15,late romantic era,4,31
160,10,dance pop,3,32
161,5,german pop,3,32
162,0,contemporary gospel,2,32
163,48,rap,2,32
164,35,schlager,2,32
165,16,death metal,13,33
166,6,metal,12,33
167,15,brutal death metal,11,33
168,23,dutch death metal,5,33
169,14,black metal,5,33
170,0,german pop,3,34
171,3,pop,3,34
172,10,lounge,2,34
173,22,r&b,2,34
174,49,quiet storm,2,34
175,0,death metal,12,35
176,2,metal,8,35
177,8,technical death metal,6,35
178,10,brutal death metal,6,35
179,9,grim death metal,5,35
180,0,latin,7,36
181,3,reggaeton,7,36
182,4,trap latino,6,36
183,6,pop,5,36
184,1,latin hip hop,5,36
185,5,death metal,12,37
186,4,brutal death metal,11,37
187,17,metal,8,37
188,6,florida death metal,5,37
189,7,technical death metal,5,37
190,2,death metal,10,38
191,10,metal,8,38
192,9,deathrash,5,38
193,1,brutal death metal,5,38
194,21,old school thrash,4,38
195,10,dance pop,6,39
196,11,pop,4,39
197,8,soft rock,3,39
198,6,mellow gold,3,39
199,23,soul,2,39
