name,artist,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,time_signature,cluster,html,id,sh_score
Se Eu Quiser Falar Com Deus                                                                                                                                                      ,Gilberto Gil                                    ,0.6594666078906767,0.2589849573946351,0.6834178543324299,0.0,0.0865558366461872,0.6967871485943775,5.9593908629441615e-05,0.9877061776457331,0.2966645949865341,0.75,5,https://open.spotify.com/track/1n7JnwviZ7zf0LR1tcGFq7,1n7JnwviZ7zf0LR1tcGFq7 ,0.04860818937735521
Saudade De Bahia                                                                                                                                                                 ,Antônio Carlos Jobim                            ,0.7520387921534053,0.39898779945232893,0.6942379994753869,1.0,0.021684134441633543,0.21787148594377512,1.9086294416243656e-06,0.09845302735375475,0.6975347006422208,0.75,4,https://open.spotify.com/track/5QGM1U0eCYrQuwSJwTm5Zq,5QGM1U0eCYrQuwSJwTm5Zq ,0.5044861615051855
"Canta Canta, Minha Gente                                                                                                                                                       ",Martinho Da Vila                                ,0.8721622217324223,0.7299945188887336,0.729168488239923,1.0,0.5861944344054932,0.4548192771084338,6.436548223350253e-05,0.11586927568896631,0.9171327946964988,0.75,4,https://open.spotify.com/track/0NLIFSZxPzQhCwnkn5PJYs,0NLIFSZxPzQhCwnkn5PJYs ,0.38205940681175693
Mulher Eu Sei                                                                                                                                                                    ,Chico César                                     ,0.7112629490852986,0.05018071866858898,0.5746917898050188,1.0,0.044271774485001816,0.8825301204819278,4.111675126903553e-05,0.38428439709046214,0.5224777294385746,0.75,2,https://open.spotify.com/track/3mXqOdlLE1k67WsAxryPFs,3mXqOdlLE1k67WsAxryPFs ,0.140059088491882
Rosa Morena                                                                                                                                                                      ,Kurt Elling                                     ,0.651752259202116,0.11898211533694134,0.5377065664072747,1.0,0.02782797253342971,0.9196787148594379,0.00034822335025380707,0.095379571765188,0.39610524135073544,0.75,2,https://open.spotify.com/track/7bSzjzjTkWT2CkIPPdp0eA,7bSzjzjTkWT2CkIPPdp0eA ,0.22956387621248003
Desafinado                                                                                                                                                                       ,Stan Getz                                       ,0.44787304386158255,0.145982663448068,0.5881350004371775,1.0,0.07643657390675822,0.9347389558232932,0.1563451776649746,0.09845302735375475,0.4178578827429045,0.75,2,https://open.spotify.com/track/5pstSsK0G4q86gdyy1Spqh,5pstSsK0G4q86gdyy1Spqh ,0.34392460346352544
Madalena                                                                                                                                                                         ,Maria Gasolina                                  ,0.6782014547057528,0.206983901773206,0.6685756754393635,0.0,0.057643657390675826,0.9668674698795181,0.42030456852791875,0.10357545333469934,0.688212140045577,0.75,3,https://open.spotify.com/track/33u3dO0JWjerYpFN61J3ug,33u3dO0JWjerYpFN61J3ug ,0.27181454244723796
O Meu Amor É Glòria                                                                                                                                                              ,Sílvia Pérez Cruz                               ,0.4897509367423407,0.7329945797899698,0.7363382005770743,1.0,0.6620889049512106,0.6987951807228916,5.695431472081218e-05,0.6783116483966808,0.8974518334369173,0.75,4,https://open.spotify.com/track/0ylJQpV3K4XnhWhLDMFmH7,0ylJQpV3K4XnhWhLDMFmH7 ,0.2735163242442649
Brigas Nunca Mais                                                                                                                                                                ,Paula Morelenbaum                               ,0.6991404011461317,0.5459907836129074,0.7203375010929438,1.0,0.03144199494036863,0.3995983935742972,0.07715736040609136,0.14557934637844483,0.643671017194945,0.75,4,https://open.spotify.com/track/1wL2dk42Cxu4zCJs4SvFsZ,1wL2dk42Cxu4zCJs4SvFsZ ,0.5065921243806065
Previsao                                                                                                                                                                         ,Bossacucanova                                   ,0.6770994048931013,0.8639972391439548,0.7964282591588703,1.0,0.0281893747741236,0.643574297188755,0.36345177664974615,0.13123655363180003,0.5349078102340998,0.75,4,https://open.spotify.com/track/5iKuMCDh634YGrg2HrhtHp,5iKuMCDh634YGrg2HrhtHp ,0.2510364694044508
