name,artist,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,time_signature,cluster,html,id,sh_score
Se Eu Quiser Falar Com Deus                                                                                                                                                      ,Gilberto Gil                                    ,0.6804550155118925,0.259,0.7638974927455903,0.0,0.07679738562091502,0.6967871485943775,5.9593908629441615e-05,0.9878419452887538,0.31065989847715736,0.8,5,https://open.spotify.com/track/1n7JnwviZ7zf0LR1tcGFq7,1n7JnwviZ7zf0LR1tcGFq7 ,0.04816258100164726
Saudade De Bahia                                                                                                                                                                 ,Antônio Carlos Jobim                            ,0.7673216132368149,0.399,0.7719670046623847,1.0,0.03769063180827886,0.21787148594377512,1.9086294416243656e-06,0.10840932117527863,0.7035532994923857,0.8,1,https://open.spotify.com/track/5QGM1U0eCYrQuwSJwTm5Zq,5QGM1U0eCYrQuwSJwTm5Zq ,0.1950697479276208
"Canta Canta, Minha Gente                                                                                                                                                       ",Martinho Da Vila                                ,0.8800413650465357,0.73,0.7980176714159956,1.0,0.377995642701525,0.4548192771084338,6.436548223350253e-05,0.12563323201621074,0.9187817258883249,0.8,1,https://open.spotify.com/track/0NLIFSZxPzQhCwnkn5PJYs,0NLIFSZxPzQhCwnkn5PJYs ,0.1456989476263093
Mulher Eu Sei                                                                                                                                                                    ,Chico César                                     ,0.7290589451913133,0.0502,0.6828111245150141,1.0,0.051307189542483665,0.8825301204819278,4.111675126903553e-05,0.3910840932117528,0.531979695431472,0.8,2,https://open.spotify.com/track/3mXqOdlLE1k67WsAxryPFs,3mXqOdlLE1k67WsAxryPFs ,0.4097039807261436
Rosa Morena                                                                                                                                                                      ,Kurt Elling                                     ,0.6732161323681489,0.119,0.6552280655994263,1.0,0.04139433551198257,0.9196787148594379,0.00034822335025380707,0.10536980749746708,0.40812182741116754,0.8,2,https://open.spotify.com/track/7bSzjzjTkWT2CkIPPdp0eA,7bSzjzjTkWT2CkIPPdp0eA ,0.42121585339034545
Desafinado                                                                                                                                                                       ,Stan Getz                                       ,0.4819027921406412,0.146,0.6928368817449708,1.0,0.07069716775599129,0.9347389558232932,0.1563451776649746,0.10840932117527863,0.42944162436548217,0.8,2,https://open.spotify.com/track/5pstSsK0G4q86gdyy1Spqh,5pstSsK0G4q86gdyy1Spqh ,0.3220532027288949
Madalena                                                                                                                                                                         ,Maria Gasolina                                  ,0.6980351602895554,0.207,0.7528284046819471,0.0,0.0593681917211329,0.9668674698795181,0.42030456852791875,0.11347517730496455,0.6944162436548224,0.8,6,https://open.spotify.com/track/33u3dO0JWjerYpFN61J3ug,33u3dO0JWjerYpFN61J3ug ,0.28780187664787105
O Meu Amor É Glòria                                                                                                                                                              ,Sílvia Pérez Cruz                               ,0.5211995863495347,0.733,0.8033647419386392,1.0,0.4237472766884532,0.6987951807228916,5.695431472081218e-05,0.6818642350557245,0.899492385786802,0.8,2,https://open.spotify.com/track/0ylJQpV3K4XnhWhLDMFmH7,0ylJQpV3K4XnhWhLDMFmH7 ,0.08244287062592076
Brigas Nunca Mais                                                                                                                                                                ,Paula Morelenbaum                               ,0.717683557394002,0.546,0.7914316455283492,1.0,0.04357298474945534,0.3995983935742972,0.07715736040609136,0.15501519756838905,0.650761421319797,0.8,1,https://open.spotify.com/track/1wL2dk42Cxu4zCJs4SvFsZ,1wL2dk42Cxu4zCJs4SvFsZ ,0.06897546591124921
Previsao                                                                                                                                                                         ,Bossacucanova                                   ,0.6970010341261634,0.864,0.8481790616543314,1.0,0.04161220043572984,0.643574297188755,0.36345177664974615,0.14083080040526852,0.5441624365482234,0.8,2,https://open.spotify.com/track/5iKuMCDh634YGrg2HrhtHp,5iKuMCDh634YGrg2HrhtHp ,0.028905844106612375
The Girl From Ipanema                                                                                                                                                            ,Stan Getz                                       ,0.6628748707342296,0.14,0.704411333181181,1.0,0.042483660130718956,0.8704819277108434,0.0016852791878172587,0.10638297872340426,0.39390862944162436,0.8,2,https://open.spotify.com/track/4xGFcQEIjtmbPD6Jsxq14M,4xGFcQEIjtmbPD6Jsxq14M ,0.4516618632984892
Blue Bossa - Remastered                                                                                                                                                          ,Joe Henderson                                   ,0.4963805584281282,0.433,0.8165856998467608,0.0,0.05795206971677559,0.6104417670682731,0.7045685279187817,0.1094224924012158,0.9106598984771573,0.8,6,https://open.spotify.com/track/26g2HsIOznFYeJWR9zhRXZ,26g2HsIOznFYeJWR9zhRXZ ,0.07238912379792786
